Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
29081916,Only Dull People Are Brilliant at Breakfast,Oscar Wilde,"Wilde, Oscar",,"=""""","=""""",0,Penguin,Kindle Edition,60,2016,2016,,2026/08/28,to-read,to-read (#178),to-read,,,,0,0
61535,The Selfish Gene,Richard Dawkins,"Dawkins, Richard",,"=""0199291152""","=""9780199291151""",0,Oxford University Press,Paperback,360,2006,1976,,2026/08/28,to-read,to-read (#177),to-read,,,,0,0
7130670,What We Talk About When We Talk About Love,Raymond Carver,"Carver, Raymond",,"=""0099530325""","=""9780099530329""",0,Vintage Books,Paperback,134,2009,1981,,2026/08/28,to-read,to-read (#176),to-read,,,,0,0
64582,Chaos: Making a New Science,James Gleick,"Gleick, James",,"=""0140092501""","=""9780140092509""",0,Penguin Group,Paperback,352,1988,1987,,2026/08/28,to-read,to-read (#175),to-read,,,,0,0
51997883,Borges and Me,Jay Parini,"Parini, Jay",,"=""""","=""""",0,Canongate Books Ltd.,Unknown Binding,320,2020,2020,,2026/08/28,to-read,to-read (#174),to-read,,,,0,0
62069739,When We Cease to Understand the World,Benjamín Labatut,"Labatut, Benjamín",Adrian Nathan West,"=""""","=""""",3.0,New York Review Books,Kindle Edition,193,2022,2020,2026/08/24,2026/04/19,,,read,"I picked this book after I was impressed by the writing style of Labatut in the book The MANIAC. The writing style here is more feverish and hauntingly beautiful. What pains me is the fact that after the first chapter, the level of fictional elements interspersed with facts grows, and though it sounds beautiful to read, it might feel misleading. Although the way he creates those fictions is a beauty in itself...he paints them as if he is inside the minds of those scientists during their epiphanies, in the most romanticized way. The facts align with what I'd read earlier in In Search of Schrödinger's Cat by John Gribbin. Apart from that, those chapters are really elegant...especially the parts with Heisenberg in Helgoland and Schrödinger at the Herwig sanatorium, where multiple mystical passages describe their hallucinations and visions. These are really the most eerie yet elegant passages in the book.<br/><br/>Regardless of all that, it's a great read, and it justifies the title -- Labatut is speaking to that throughout the book.",,,1,0
39644175,Anxiety and the Equation: Understanding Boltzmann's Entropy,Eric          Johnson,"Johnson, Eric",,"=""0262038617""","=""9780262038614""",0,The MIT Press,Hardcover,192,2018,,,2026/08/15,to-read,to-read (#173),to-read,,,,0,0
807644,Solitudes Crowded With Loneliness,Bob Kaufman,"Kaufman, Bob",,"=""0811200760""","=""9780811200769""",0,New Directions,Paperback,87,1965,1965,,2026/08/15,to-read,to-read (#172),to-read,,,,0,0
75665931,The Maniac,Benjamín Labatut,"Labatut, Benjamín",,"=""0593654471""","=""9780593654477""",4.0,Penguin Press,Hardcover,368,2023,2023,2026/08/15,2026/04/19,,,read,"As the book ends you understand why exactly the author chose the title as The Maniac, it is to pay homage to the MANIAC that Von Neumann created but he wanted you to realize what maniac means truly. To be unparalleled in your thought process and transcend the limits of human mind. Von Neumann was not just a prodigy, he was a behemoth representing pinnacle of human intelligence and had a hand in every territory of research. The book feels great to read because it is not written as a biography rather it encloses the testimony of close people who knew Von Neumann. Adding the famous AlphaGo and Lee Sedol match at the end is a great way to conclude the book knowing Von Neumann liked GO and here what he dreamed a machine could transcend is done perfectly. The beginning of the book was the most beautiful and hauntingly elegant. Paul Ehrenfest's story and you understand why the writer started with it because he wanted to show what happens when the limits of human mind get stretched and are rendered helpless against their own creation which they barely understand and then they are bound to go maniac...<br/><br/>A great read overall...",,,1,0
16902,"Walden or, Life in the Woods",Henry David Thoreau,"Thoreau, Henry David",Bill McKibben,"=""""","=""""",0,Princeton University Press,Paperback,352,2004,1854,,2026/08/12,to-read,to-read (#171),to-read,,,,0,0
7350722,Trifles,Susan Glaspell,"Glaspell, Susan",Patricia Robinson Jordan,"=""0981967310""","=""9780981967318""",0,D'arts Publishing,Paperback,20,2009,1916,,2026/08/08,to-read,to-read (#170),to-read,,,,0,0
252701214,Inference Engineering,Philip Kiely,"Kiely, Philip",,"=""9368089825""","=""9789368089827""",3.0,Shroff/Baseten,Paperback,260,2026,2026,2026/08/06,2026/07/07,,,read,"A good book that introduces you to all the moving parts involved in the serving and inference of LLMs along with video, audio, image models. Also beautifully makes you aware about tradeoffs involved between the current optimizations techniques like speculative decoding or quantization or caching.",,,1,0
59205150,Game Theory: Understanding the Mathematics of Life,Brian Clegg,"Clegg, Brian",,"=""1785788329""","=""9781785788321""",0,Icon Books,Paperback,176,2022,,,2026/08/05,to-read,to-read (#169),to-read,,,,0,0
55051662,"Genius Makers: The Mavericks Who Brought AI to Google, Facebook, and the World",Cade Metz,"Metz, Cade",,"=""1524742678""","=""9781524742676""",0,Dutton,Hardcover,384,2021,2021,,2026/08/05,to-read,to-read (#168),to-read,,,,0,0
48677123,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""0525657606""","=""9780525657606""",0,Alfred A. Knopf,Hardcover,310,2020,2020,,2026/08/04,to-read,to-read (#167),to-read,,,,0,0
242082631,The Things We Never Say,Elizabeth Strout,"Strout, Elizabeth",,"=""""","=""9798217154746""",0,Random House,Hardcover,224,2026,2026,,2026/07/31,to-read,to-read (#166),to-read,,,,0,0
11797471,The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,"Gertner, Jon",,"=""1594203288""","=""9781594203282""",0,Penguin Press,Hardcover,432,2012,2012,,2026/07/31,to-read,to-read (#165),to-read,,,,0,0
6629359,"The Strangest Man: The Hidden Life of Paul Dirac, Mystic of the Atom",Graham Farmelo,"Farmelo, Graham",,"=""0465018270""","=""9780465018277""",0,Basic Books,Hardcover,560,2009,2009,,2026/07/31,to-read,to-read (#164),to-read,,,,0,0
32919530,A Mind at Play: How Claude Shannon Invented the Information Age,Jimmy Soni,"Soni, Jimmy",Rob Goodman,"=""1476766681""","=""9781476766683""",0,Simon & Schuster,Hardcover,384,2017,2017,,2026/07/31,to-read,to-read (#163),to-read,,,,0,0
241434373,"The Infinity Machine: Demis Hassabis, DeepMind, and the Quest for Superintelligence",Sebastian Mallaby,"Mallaby, Sebastian",,"=""0593831845""","=""9780593831847""",3.0,Penguin Press,Hardcover,480,2026,,2026/07/30,2026/07/08,,,read,"Yes, the book is about how Demis Hassabis became who he is, how he built DeepMind into what it is today, and how he envisioned AI at a very early age while being a chess prodigy. However, you cannot ignore the fact that the author portrays him as an almost saintly evangelist: a figure who never once had a flawed thought or misstep.<br/><br/>Still, it’s a great book if you want to learn how DeepMind came to be, and how Hassabis’s friendship with David Silver championed their research trajectory over the years, running from AlphaGo to AlphaZero, AlphaStar, and eventually AlphaProof. (While Silver no longer works at DeepMind, the book clearly highlights how profound his influence was.) You also get interesting insights into the inner workings of Google’s acquisition of DeepMind, alongside Hassabis’s perspective on the race to AGI through language models.<br/><br/>That said, as detailed as the book is regarding Hassabis’s formative years, it falls short when covering the Silicon Valley language model race from 2023 onward. It merely grazes over several critical milestones in this quest for superintelligence. Granted, I might feel this way because I’ve been closely following these developments since 2023 while working directly at the application layer of these AI models.<br/><br/>Overall, it’s a fantastic read if you want to trace Hassabis’s journey from chess prodigy to polymath, culminating in a Nobel Prize in Chemistry alongside John Jumper and David Baker for AlphaFold, arguably AI’s most significant contribution to science so far.",,,1,0
53672,Crome Yellow,Aldous Huxley,"Huxley, Aldous",,"=""0486436632""","=""9780486436630""",0,Dover Publications,Paperback,176,2004,1921,,2026/07/29,to-read,to-read (#162),to-read,,,,0,0
